nodo_eliminado,Ng/N,eficiencia_global
247,0.002028397565922921,9.28699124701075e-05
587,0.002028397565922921,9.350600776099864e-05
767,0.002028397565922921,9.414866073530103e-05
500,0.002028397565922921,9.479796184382036e-05
698,0.002028397565922921,9.54540031022551e-05
800,0.002028397565922921,9.611687812379854e-05
553,0.002028397565922921,7.259001161440186e-05
614,0.002028397565922921,7.309763407324383e-05
642,0.002028397565922921,7.36105999263894e-05
289,0.002028397565922921,7.412898443291327e-05
935,0.002028397565922921,7.465286418155577e-05
386,0.002028397565922921,7.518231711901361e-05
791,0.002028397565922921,7.57174225789354e-05
778,0.002028397565922921,7.62582613116421e-05
656,0.002028397565922921,7.680491551459293e-05
110,0.002028397565922921,5.157164590907919e-05
639,0.002028397565922921,5.194400436329637e-05
929,0.002028397565922921,5.232041019201591e-05
617,0.002028397565922921,5.270092226613966e-05
202,0.002028397565922921,5.3085600530856004e-05
503,0.002028397565922921,5.3474506029250556e-05
616,0.002028397565922921,5.3867700926524454e-05
687,0.002028397565922921,5.426524853483829e-05
849,0.002028397565922921,5.466721333880005e-05
715,0.002028397565922921,5.507366102161641e-05
67,0.002028397565922921,5.548465849192698e-05
886,0.002028397565922921,5.5900273911342166e-05
43,0.002028397565922921,5.632057672270564e-05
239,0.002028397565922921,5.6745637679103416e-05
979,0.002028397565922921,5.717552887364208e-05
175,0.002028397565922921,5.761032377001959e-05
144,0.002028397565922921,5.8050097233912865e-05
364,0.002028397565922921,5.849492556520722e-05
454,0.002028397565922921,5.8944886531093426e-05
836,0.002028397565922921,5.94000594000594e-05
354,0.002028397565922921,5.9860524976804046e-05
676,0.002028397565922921,6.032636563810213e-05
705,0.002028397565922921,6.0797665369649806e-05
811,0.002028397565922921,6.127450980392157e-05
805,0.002028397565922921,6.175698625907056e-05
739,0.002028397565922921,6.224518377890511e-05
604,0.002028397565922921,6.273919317397578e-05
472,0.002028397565922921,6.323910706380825e-05
951,0.002028397565922921,3.187250996015936e-05
598,0.002028397565922921,3.21285140562249e-05
279,0.002028397565922921,3.2387614976033165e-05
877,0.002028397565922921,3.264986287057595e-05
760,0.002028397565922921,3.291530891017412e-05
507,0.002028397565922921,3.318400530944085e-05
919,0.002028397565922921,3.345600535296086e-05
957,0.002028397565922921,3.373136342170951e-05
906,0.002028397565922921,3.401013502023603e-05
319,0.002028397565922921,3.429237680463633e-05
970,0.002028397565922921,3.457814661134163e-05
315,0.002028397565922921,3.486750348675035e-05
477,0.002028397565922921,3.5160507717731446e-05
410,0.002028397565922921,3.5457220863028756e-05
825,0.0010141987829614604,0.0
974,0.0010141987829614604,0.0
952,0.0010141987829614604,0.0
111,0.0010141987829614604,0.0
987,0.0010141987829614604,0.0
855,0.0010141987829614604,0.0
652,0.0010141987829614604,0.0
955,0.0010141987829614604,0.0
867,0.0010141987829614604,0.0
869,0.0010141987829614604,0.0
923,0.0010141987829614604,0.0
740,0.0010141987829614604,0.0
757,0.0010141987829614604,0.0
476,0.0010141987829614604,0.0
416,0.0010141987829614604,0.0
696,0.0010141987829614604,0.0
942,0.0010141987829614604,0.0
752,0.0010141987829614604,0.0
962,0.0010141987829614604,0.0
964,0.0010141987829614604,0.0
725,0.0010141987829614604,0.0
972,0.0010141987829614604,0.0
1001,0.0010141987829614604,0.0
807,0.0010141987829614604,0.0
909,0.0010141987829614604,0.0
927,0.0010141987829614604,0.0
833,0.0010141987829614604,0.0
1000,0.0010141987829614604,0.0
912,0.0010141987829614604,0.0
749,0.0010141987829614604,0.0
769,0.0010141987829614604,0.0
781,0.0010141987829614604,0.0
396,0.0010141987829614604,0.0
727,0.0010141987829614604,0.0
534,0.0010141987829614604,0.0
939,0.0010141987829614604,0.0
937,0.0010141987829614604,0.0
817,0.0010141987829614604,0.0
596,0.0010141987829614604,0.0
591,0.0010141987829614604,0.0
905,0.0010141987829614604,0.0
751,0.0010141987829614604,0.0
785,0.0010141987829614604,0.0
887,0.0010141987829614604,0.0
829,0.0010141987829614604,0.0
920,0.0010141987829614604,0.0
819,0.0010141987829614604,0.0
629,0.0010141987829614604,0.0
802,0.0010141987829614604,0.0
722,0.0010141987829614604,0.0
109,0.0010141987829614604,0.0
771,0.0010141987829614604,0.0
868,0.0010141987829614604,0.0
779,0.0010141987829614604,0.0
883,0.0010141987829614604,0.0
934,0.0010141987829614604,0.0
986,0.0010141987829614604,0.0
844,0.0010141987829614604,0.0
967,0.0010141987829614604,0.0
584,0.0010141987829614604,0.0
796,0.0010141987829614604,0.0
689,0.0010141987829614604,0.0
898,0.0010141987829614604,0.0
839,0.0010141987829614604,0.0
718,0.0010141987829614604,0.0
609,0.0010141987829614604,0.0
857,0.0010141987829614604,0.0
984,0.0010141987829614604,0.0
866,0.0010141987829614604,0.0
512,0.0010141987829614604,0.0
954,0.0010141987829614604,0.0
522,0.0010141987829614604,0.0
945,0.0010141987829614604,0.0
850,0.0010141987829614604,0.0
574,0.0010141987829614604,0.0
682,0.0010141987829614604,0.0
889,0.0010141987829614604,0.0
854,0.0010141987829614604,0.0
759,0.0010141987829614604,0.0
721,0.0010141987829614604,0.0
735,0.0010141987829614604,0.0
683,0.0010141987829614604,0.0
692,0.0010141987829614604,0.0
736,0.0010141987829614604,0.0
432,0.0010141987829614604,0.0
865,0.0010141987829614604,0.0
594,0.0010141987829614604,0.0
475,0.0010141987829614604,0.0
741,0.0010141987829614604,0.0
989,0.0010141987829614604,0.0
801,0.0010141987829614604,0.0
806,0.0010141987829614604,0.0
780,0.0010141987829614604,0.0
782,0.0010141987829614604,0.0
784,0.0010141987829614604,0.0
966,0.0010141987829614604,0.0
943,0.0010141987829614604,0.0
944,0.0010141987829614604,0.0
946,0.0010141987829614604,0.0
947,0.0010141987829614604,0.0
948,0.0010141987829614604,0.0
965,0.0010141987829614604,0.0
999,0.0010141987829614604,0.0
1002,0.0010141987829614604,0.0
1003,0.0010141987829614604,0.0
1004,0.0010141987829614604,0.0
982,0.0010141987829614604,0.0
983,0.0010141987829614604,0.0
985,0.0010141987829614604,0.0
988,0.0010141987829614604,0.0
762,0.0010141987829614604,0.0
761,0.0010141987829614604,0.0
837,0.0010141987829614604,0.0
834,0.0010141987829614604,0.0
831,0.0010141987829614604,0.0
830,0.0010141987829614604,0.0
827,0.0010141987829614604,0.0
824,0.0010141987829614604,0.0
821,0.0010141987829614604,0.0
795,0.0010141987829614604,0.0
794,0.0010141987829614604,0.0
792,0.0010141987829614604,0.0
790,0.0010141987829614604,0.0
788,0.0010141987829614604,0.0
787,0.0010141987829614604,0.0
743,0.0010141987829614604,0.0
842,0.0010141987829614604,0.0
843,0.0010141987829614604,0.0
755,0.0010141987829614604,0.0
838,0.0010141987829614604,0.0
750,0.0010141987829614604,0.0
737,0.0010141987829614604,0.0
713,0.0010141987829614604,0.0
709,0.0010141987829614604,0.0
848,0.0010141987829614604,0.0
846,0.0010141987829614604,0.0
724,0.0010141987829614604,0.0
716,0.0010141987829614604,0.0
773,0.0010141987829614604,0.0
763,0.0010141987829614604,0.0
774,0.0010141987829614604,0.0
775,0.0010141987829614604,0.0
688,0.0010141987829614604,0.0
853,0.0010141987829614604,0.0
702,0.0010141987829614604,0.0
693,0.0010141987829614604,0.0
704,0.0010141987829614604,0.0
862,0.0010141987829614604,0.0
863,0.0010141987829614604,0.0
701,0.0010141987829614604,0.0
870,0.0010141987829614604,0.0
871,0.0010141987829614604,0.0
873,0.0010141987829614604,0.0
874,0.0010141987829614604,0.0
875,0.0010141987829614604,0.0
876,0.0010141987829614604,0.0
659,0.0010141987829614604,0.0
864,0.0010141987829614604,0.0
668,0.0010141987829614604,0.0
673,0.0010141987829614604,0.0
680,0.0010141987829614604,0.0
677,0.0010141987829614604,0.0
879,0.0010141987829614604,0.0
881,0.0010141987829614604,0.0
882,0.0010141987829614604,0.0
878,0.0010141987829614604,0.0
884,0.0010141987829614604,0.0
888,0.0010141987829614604,0.0
890,0.0010141987829614604,0.0
891,0.0010141987829614604,0.0
861,0.0010141987829614604,0.0
858,0.0010141987829614604,0.0
770,0.0010141987829614604,0.0
766,0.0010141987829614604,0.0
650,0.0010141987829614604,0.0
646,0.0010141987829614604,0.0
894,0.0010141987829614604,0.0
893,0.0010141987829614604,0.0
348,0.0010141987829614604,0.0
657,0.0010141987829614604,0.0
895,0.0010141987829614604,0.0
897,0.0010141987829614604,0.0
904,0.0010141987829614604,0.0
910,0.0010141987829614604,0.0
911,0.0010141987829614604,0.0
630,0.0010141987829614604,0.0
899,0.0010141987829614604,0.0
901,0.0010141987829614604,0.0
902,0.0010141987829614604,0.0
903,0.0010141987829614604,0.0
634,0.0010141987829614604,0.0
636,0.0010141987829614604,0.0
637,0.0010141987829614604,0.0
620,0.0010141987829614604,0.0
622,0.0010141987829614604,0.0
625,0.0010141987829614604,0.0
626,0.0010141987829614604,0.0
628,0.0010141987829614604,0.0
398,0.0010141987829614604,0.0
603,0.0010141987829614604,0.0
606,0.0010141987829614604,0.0
915,0.0010141987829614604,0.0
382,0.0010141987829614604,0.0
383,0.0010141987829614604,0.0
631,0.0010141987829614604,0.0
632,0.0010141987829614604,0.0
583,0.0010141987829614604,0.0
578,0.0010141987829614604,0.0
928,0.0010141987829614604,0.0
916,0.0010141987829614604,0.0
561,0.0010141987829614604,0.0
436,0.0010141987829614604,0.0
439,0.0010141987829614604,0.0
595,0.0010141987829614604,0.0
991,0.0010141987829614604,0.0
992,0.0010141987829614604,0.0
993,0.0010141987829614604,0.0
994,0.0010141987829614604,0.0
968,0.0010141987829614604,0.0
969,0.0010141987829614604,0.0
449,0.0010141987829614604,0.0
524,0.0010141987829614604,0.0
456,0.0010141987829614604,0.0
463,0.0010141987829614604,0.0
960,0.0010141987829614604,0.0
959,0.0010141987829614604,0.0
961,0.0010141987829614604,0.0
973,0.0010141987829614604,0.0
975,0.0010141987829614604,0.0
977,0.0010141987829614604,0.0
978,0.0010141987829614604,0.0
995,0.0010141987829614604,0.0
996,0.0010141987829614604,0.0
997,0.0010141987829614604,0.0
998,0.0010141987829614604,0.0
938,0.0010141987829614604,0.0
940,0.0,0.0
941,0.0,0.0
